letter_id,n,text
10013,67.0,"Vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 2, 8, 4 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/4 156, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file11749"">Nr. 1704</ref>)."
10013,68.0,= hebes.
10013,69.0,Gemeint sind die Unterweltsfluten.
10013,70.0,"Zu diesen Versen vgl. Martial, Epigramme, 1, 78."
10013,71.0,"Ketzer, die behaupteten, Gott hätte menschliche Gestalt."
10013,72.0,Rechnungen.
10013,73.0,= caeno.
10013,74.0,"Eine Römerin, die sich einen hässlichen Liebhaber ausgesucht hatte; vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 1, 3, 58 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/1 368, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10289"">Nr. 258</ref>), und Horaz, Satiren, 1, 2, 91."
10013,75.0,"Vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 1, 3, 55 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/1 366, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10286"">Nr. 255</ref>)."
10013,76.0,"<bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 2, 9, 8 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/4 223, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file11854"">Nr. 1808</ref>). - Der Hafen von Torone in Mazedonien soll sehr still gewesen sein, weil die Hafenkais das Meeresger&#228;usch d&#228;mpften; s. Konstantin Boshnakov, Die Thraker s&#252;dlich vom Balkan in den &#8222;Geographika&#8220; Strabos. Quellenkritische Untersuchungen, Wiesbaden/Stuttgart 2003, S. 129."
10013,77.0,"<bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> 2, 6, 34 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II/4 42-45, <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file11577"">Nr. 1534</ref>). - Die Kimmerier lebten im &#228;u&#223;ersten Norden und in ewiger Dunkelheit."
10013,78.0,"Amyntor verhängte zornig den Fluch der Kinderlosigkeit über seinen Sohn Phoinix, weil dieser seine Geliebte verführt hatte."
10013,79.0,Anspielung auf den Typus des „servus callidus“ in der römischen Komödie.
10013,80.0,"Vgl. Martial, Epigramme, 9, 25, 2."
10013,81.0,"Die hässlichen Gorgonen verwandelten jeden, der sie ansah, in Stein; s. Der Neue Pauly, s.v. Gorgo (online)."
10013,82.0,"Zu diesen Versen vgl. Martial, Epigramme, 9, 25, 3-5."
10013,83.0,"Der phönizische Königssohn Phineus wurde von den Harpyien gepeinigt, die ihm die Speisen raubten und beschmutzten, so dass er immer hungerte."
10013,84.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">&#214;dipus</persName>, der unwissentlich seinen Vater t&#246;tete, seine Mutter heiratete und sich die Augen ausstach, als er es erfuhr. - Zum Vers vgl. Martial, Epigramme, 9, 25, 9f."
10013,85.0,"Vgl. Martial, Epigramme, 10, 48, 7."
10013,86.0,"= adiutor (Gehilfe). - Gemeint ist hier der Generalvikar <persName xmlns=""http://www.tei-c.org/ns/1.0"">Johannes Fabri</persName>; s. unten Z. 444."
10013,87.0,"zaes, ein Fisch, der lat. faber heißt. - Hier eine Anspielung auf <persName xmlns=""http://www.tei-c.org/ns/1.0"">Johannes Fabri</persName>."
10013,88.0,"Juvenal, Satiren, 9, 25."
10013,89.0,"Ein hässlicher, schmähsüchtiger Grieche vor Troja."
10013,90.0,"Dädalus, Erfinder des Labyrinths auf Kreta."
10013,91.0,"Gattin des Königs Minos, die Dädalus damit beauftragt hatte, ihr eine falsche Kuh zu verfertigen, um den von ihr geliebten Stier zu täuschen - sie versteckte sich in der Kuh, und der Stier zeugte mit ihr den <persName xmlns=""http://www.tei-c.org/ns/1.0"">Minotaurus</persName>, der sp&#228;ter im Labyrinth eingeschlossen wurde."
10013,92.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Johannes Fabri</persName> stammte aus Leutkirch (Oberschwaben)."
10013,93.0,"Hercules, der gegen die Hydra kämpfte, welcher immer neue Köpfe nachwuchsen."
10013,94.0,Brigantino lacu: Bregenzer See (= Bodensee).
10013,95.0,Hercules hatte von Apollo vergiftete Pfeile erhalten. Damit wurde der Adler erlegt.
10013,96.0,zu Bacchus und zum Wein gehörend.
10013,97.0,Siehe dazu oben Anm. 54.
10013,98.0,Hier wohl wie bei L. Junius Moderatus Columella als aufgegrabene Erdklumpen zu verstehen.
10013,99.0,"Vgl. Ovid, Metamorphosen, 15, 414f; <persName xmlns=""http://www.tei-c.org/ns/1.0"">Plinius d.&#196;.</persName>, Naturalis historia, 37, 52, 5."
10013,100.0,"Vgl. Ovid, Metamorphosen, 15, 409f; <persName xmlns=""http://www.tei-c.org/ns/1.0"">Plinius d.&#196;.</persName>, Naturalis historia, 8, 105; 11, 177."
10013,101.0,"Vgl. Vergil, Eclogae, 3, 111."
10013,102.0,"Der Name eines Gottes, den die alten Griechen mit dem Abendstern in Verbindung brachten, ehe sie erfuhren, dass es sich dabei um den Planeten Venus, die Göttin des sexuellen Verlangens und der Schönheit, handelte, so dass hier Hesperus als das männliche Pendant von Venus aufzufassen ist."
10013,103.0,"Vgl. Vergil, Eclogae, 10, 77."
10013,104.0,Müller spricht von den in seinen Versen verwendeten Wörtern und vom Inhalt (sensus) seines Gedichtes.
10013,105.0,= vitilitigatores.
10013,106.0,Die altgläubigen Scholastiker.
10013,107.0,"Ovid, Epistulae ex Ponto, 2, 6, 38."
10013,108.0,"= fartus; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Kirsch</bibl> 1169f."
10013,109.0,"Apicius, ein römischer Feinschmecker und Meister der Kochkunst."
10013,110.0,"Sardanapal (auch Assurbanipal), ein König Assyriens, berüchtigt für seine Ausschweifungen. - Da Müller den hier von ihm angeprangerten Spitzel mit einer politischen Figur, bzw. mit Sardanapal, in Verbindung bringt, dem es möglich war, Menschen zu verhaften (s. unten Z. 511f), wird hier der seit 1489 immer wieder abwechslungsweise belegte Chamer Obervogt und Hauptmann Heinrich Schönbrunner d.Ä. (gest. 22. Juni 1528) gemeint sein, der nicht mit seinem gleichnamigen Sohn (gest. 6. Juni 1537), Hauptmann und Verfasser einer Chronik, und ebenfalls vehementer Gegner der Reformation, zu verwechseln ist; s. Franz Carl Stadlin, Die Geschichten der Stadtgemeinden Zug [= Topographie des Kantons Zug IV], Luzern 1824, S. 310f (zum Vater); 399 (zum Sohn), Anm. 401; Wilhelm Meyer, Der Chronist Werner Steiner (1492-1542): ein Beitrag zur Reformationsgeschichte von Zug, in: Der Geschichtsfreund. Mitteilungen des Historischen Vereins Zentralschweiz LXV, 1910, S. 91, Anm. 5; 102; 112f; 128; 129 und Anm. 5; 130 (zum Vater); <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBBW III</bibl> <ref xmlns=""http://www.tei-c.org/ns/1.0"" target=""file10244"">[Nr. 213]</ref> 110, Anm. 4; VII 226, Anm. 9 (zum Sohn)."
10013,111.0,"Sehr wahrscheinlich der Zuger Hauptmann Thomas Stocker (gest. 25. Mai 1528), der sehr oft in Verbindung mit Schönbrunner d.Ä. belegt ist, und der vermutlich erst später und nur für kurze Zeit auch Vogt des Thurgaus wurde; s. Meyer aaO, S. 72. 83. 112f. 117f. 124. 126. 128f. - Sowohl beide Schönbrunner als auch Stocker waren Bullinger sehr wohl bekannt; s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBRG</bibl> Reg.; <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBBW I</bibl> und II, Reg. (Stocker); III-VII, Reg. (Sch&#246;nbrunner d.J.)."
10013,112.0,"Horaz, Epistulae, 1, 18, 69."
10013,113.0,"Vgl. Röm 2, 15."
10013,114.0,"Vgl. Joh 9, 34; 1Tim 1, 16."
1003,1.0,Nicht erhalten.
1003,2.0,"Landsgemeinde vom 24. August 1550, s. Ratsprotokoll von diesem Tag, Glarus Landesarchiv, Altes Archiv, Abt. I, Bd. 5, S. 198 (freundliche Mitteilung von Dr. Christoph Brunner, Glarus)."
1003,3.0,Hauptpunkte.
1003,4.0,"Dionysius Bussi, Alt- Landamman, und Joachim Bäldi, amtierender Landammann."
1003,5.0,Jakob Vogel(?).
1003,6.0,29. September.
1003,7.0,die Reformation.
1003,8.0,"Bäldi, oder Bussi(?)."
1003,9.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Joachim B&#228;ldi</persName>."
1003,10.0,1551.
1003,11.0,Jost Pfändler.
101,1.0,Vogler.
1019,1.0,hansestädtische.
1028,1.0,anno domini?
1048,1.0,"Vgl. Titus Livius, Ab urbe condita, 7, 10, 9; 8, 13, 17."
105,1.0,Hier kommt Brief Nr. 18330
1052,1.0,a.R.: nisum?
1058,1.0,anno domini?
1058,2.0,Rhodosrittern.
1060,1.0,Antistes.
1066,1.0,"Lauscher; vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl>, 1, 2, 44 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">LB</bibl> II ...)."
1066,2.0,"Anne Ulmerin; s. ZBZ, Ms F 22a, S. 349f (Bericht aus Esslingen vom 3. Nov. 1550), auch Ms. F 13 (S. ??); <hi xmlns=""http://www.tei-c.org/ns/1.0"">Fehr,</hi> Massenkunst 92 und Tafel 30/31; Lycosthenes, Prodigiorum et ostentorum chronicon, S. 592-594; Ulinka <hi xmlns=""http://www.tei-c.org/ns/1.0"">Rublack,</hi> Pregnancy, Childbirth and the Female Body in Early Modern Germany, in: Past and Present, Nr. 150, Feb. 1996, S. 84-110, hier S. 95f mit Anm. 50: ""The Deceitful Woman of Esslingen"", Zentralbibliothek Zurich, Wickiana, PAS II 2/13, reproduced in The German Single Leaf Woodcut, 1500-1550, ed. M. Geisberg, rev. W. L. Strauss, 4 vols. (New York, 1974), iii, p. 1066, G. 1118; ""Gruntliche antzaigung des Teufflischenn und schentlichen betrugs Mit dem gemachten Bauch von anfang biss zu end 1551"", PAS II 10/19b; ""Des falschen Weibs vnd Junckfrawen zu Esslingen Auss gericht"" (undated), PAS 10/19; ""Blut- oder Peinliches Urtelbuech"", Staatsarchiv Ludwigsburg, B 169, Bu. 119 I, f. [145.sup.v]-[156.sup.r], 23 Jan. 1551."
1066,3.0,"Anna Laminit; s. Roper, The Holy Household 262f."
1075,1.0,Hooper.
108,1.0,Hansestädte.
1084,1.0,die Breslauer.
1085,1.0,"Philipp Fallenberger (Vallenberger), von Stein; Basel, Matrikel II 67, Nr. 7; Bullingers Stipendiatenliste; immatr. Marburg 1550 als Philippus Vallenburgerus Helvetius (Caesar, Catalogus Teil III, S. 11); schreibt am 25. 3. 1551 aus Marburg an Gwalther (Zürich ZB, Ms F 40, 161f)."
1088,1.0,"<hi xmlns=""http://www.tei-c.org/ns/1.0"">Horaz,</hi> poetica, 139."
11,1.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Stephen Gardiner</persName>."
11,2.0,"wörtlich; vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Hoven</bibl> 378."
1108,1.0,a.R.: Butler.
1114,1.0,a.R.: inner? im(m)er?
1118,1.0,"Vgl. <hi xmlns=""http://www.tei-c.org/ns/1.0"">Cicero,</hi> Orationes Philippicae, 5, 5 und s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBBW</bibl> XIV *** ."
112,1.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Beat Gering</persName>."
113,1.0,Boltz.
1134,1.0,"Michael Helding, Titularbischof von Sidon."
116,1.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">B&#233;at Comte</persName>."
1169,1.0,vorab.
1169,2.0,"Anna Keller, gest. 1. Feb. 1551; Näheres im ""Verzeichniß des Geschlechts der Bullinger"", S. 96."
1177,1.0,"Vgl. <hi xmlns=""http://www.tei-c.org/ns/1.0"">Cicero,</hi> Orationes Philippicae, 5, 5 und s. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBBW</bibl> XIV *** ."
119,1.0,"Joachim Forrer. Darüber von anderer Hand: ""Furerus""."
1197,1.0,"Michael Helding, Titularbischof von Sidon."
120,1.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Beat Gering</persName>."
1200,1.0,"Zu Fricker s. (u.a.?) Mathias <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Sulser</bibl>, Der Stadtschreiber Peter Cyro und die Bernische Kanzlei zur Zeit der Reformation, Bern 1922, S. 131-134."
1204,1.0,"Michael Helding, Titularbischof von Sidon."
1211,1.0,"<bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl>, 2, 3, 72 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">ASD</bibl> II-3 290-292, Nr. 1272)."
123,1.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Joachim Forrer</persName>."
1233,1.0,"t'Serclaes? Evtl. konsultieren: André Monteyne: T'Serclaes. Une famille bruxelloise, [Brüssel] 1987."
1233,2.0,Vgl. Bullingers privates Testament!
125,1.0,"Frankreich, England, Schottland"
1250,1.0,"Simler (Ms S 74, 184) interpretiert den Zettel, der auf E II 356a, 623 (15. Juni 1554) aufgeklebt ist, irrtümlich als Nachschrift zu diesem Brief."
1261,1.0,"Vielleicht Hans Jakob (vgl. <hi xmlns=""http://www.tei-c.org/ns/1.0"">Pfarrerbuch</hi> 617)."
1264,1.0,"Ein Schreiben von Firmianus Dominicus von 1555 betr. Verfolgungen der Waldenser in Biel Stadtarchiv, 120, CXXX, Nr. 88. Zu F. Dominique s. auch Viénot, Hist. de la réforme dans le pays de Montbéliard, Register."
1268,1.0,"Adag. 1, 2, 5."
127,1.0,"Ev. Clemens Lenner? Vgl. <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Vadian BW</bibl> VI, Reg., und unten Nr. 18125. - Laut e-Mail von Rainer Henrich vom 15.04.2014 handelt es sich eher um den St. Galler ""Lesmaister"" und Musiker Clemens H&#246;r."
1287,1.0,Wustius
1288,1.0,"Überliefert (nicht original erhalten!) ist (anscheinend) die Antwort (mit falschem Datum): <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Vadian BW V</bibl> 675-677, Nachtrag Nr. 11 = <bibl xmlns=""http://www.tei-c.org/ns/1.0"">HBBW</bibl> ...?"
1288,2.0,"Im Matthäuskommentar von 1542, S. 170, diskutiert Bullinger die drei hier erwähnten Münzen. Die Beschreibung des Schekel entspricht allerdings nicht jenem in <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Vadian BW V</bibl> 676, M&#252;nze Nr. 51."
1288,3.0,"Vgl. den erwähnten Vadian-Brief. Die dort zitierte Erklärung aus den <bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl> beruht wohl auf einem Mi&#223;verst&#228;ndnis; es handelte sich kaum um eine Athener M&#252;nze, sondern um irgendeine griechische mit Ochsenbild."
130,1.0,Varnier.
1304,1.0,Hansestädte.
1307,1.0,"<bibl xmlns=""http://www.tei-c.org/ns/1.0"">Adagia</bibl>, 1, 5, 84 (<bibl xmlns=""http://www.tei-c.org/ns/1.0"">LB</bibl> II 284)."
131,1.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Beat Gering</persName>."
1325,1.0,Brief vom gleichen Tag an ZH im StA.
1325,2.0,"<persName xmlns=""http://www.tei-c.org/ns/1.0"">Jakob W&#252;rben</persName>."
1325,3.0,Joh. Leopold Frey.
1325,4.0,Hans Gerwig.
1325,5.0,Auf der Rückseite lat. Notizen.
